,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
RIGHTRECTERM, , , ,RIGHTRECTERM → &epsilon, , , ,RIGHTRECTERM → &epsilon, , , , , , , , , , , , , , ,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon, ,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon, ,RIGHTRECTERM → MULTOP FACTOR R2 RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR R2 RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR R2 RIGHTRECTERM,RIGHTRECTERM → &epsilon, , , , , , , , ,RIGHTRECTERM → &epsilon
SIGN, , , , , , , , , , , , , , , , , , , , , , ,SIGN → minus S1,SIGN → plus S1, , , , , , , , , , , , , , , , , , , , , , 
START, , , , , , , , , , , , , , ,START → PROG, , , , , , , , , , , , , , , , , , , , , , , ,START → PROG, ,START → PROG, , , , , 
STATBLOCK, , , , , ,STATBLOCK → STATEMENT B2 B3, ,STATBLOCK → B2, , , , , ,STATBLOCK → lcurbr AA REPTSTATBLOCK1 B2 B4 rcurbr, ,STATBLOCK → STATEMENT B2 B3,STATBLOCK → STATEMENT B2 B3,STATBLOCK → STATEMENT B2 B3,STATBLOCK → STATEMENT B2 B3,STATBLOCK → B2, ,STATBLOCK → STATEMENT B2 B3, , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT, , , , , ,STATEMENT → id I1 STATEMENT2 semi, , , , , , , , , ,STATEMENT → return lpar EXPR rpar S14 semi,STATEMENT → write lpar EXPR rpar S13 semi,STATEMENT → read lpar VARIABLE rpar S12 semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK S11 semi, , ,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK S10 semi, , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT2, , , , ,STATEMENT2 → lpar APARAMS rpar F7 STATEMENT3, ,STATEMENT2 → dot D1 id I1 STATEMENT5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT2 → AA INDICE REPTIDNEST1 I2 F8 STATEMENT4, , , , , , ,STATEMENT2 → ASSIGNOP EXPR S15, 
STATEMENT3, , , , , , ,STATEMENT3 → dot D1 id I1 STATEMENT5,STATEMENT3 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT4, , , , , , ,STATEMENT4 → dot D1 id I1 STATEMENT5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT4 → ASSIGNOP EXPR S15, 
STATEMENT5, , , , ,STATEMENT5 → lpar APARAMS rpar F7 D2 STATEMENT3, ,STATEMENT5 → D2 dot D1 id I1 STATEMENT2 D2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT5 → AA INDICE REPTIDNEST1 I2 F8 D2 STATEMENT4, , , , , , ,STATEMENT5 → D2 ASSIGNOP EXPR S15, 
STRUCTDECL, , , , , , , , , , , , , , ,STRUCTDECL → struct id I1 AA OPTSTRUCTDECL2 S2 lcurbr AA REPTSTRUCTDECL4 S3 rcurbr semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
