,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
STATEMENT2, , , , ,STATEMENT2 → lpar APARAMS rpar STATEMENT3, ,STATEMENT2 → dot id STATEMENT2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT2 → INDICE REPTIDNEST1 STATEMENT4, , , , , , ,STATEMENT2 → ASSIGNOP EXPR, 
STATEMENT3, , , , , , ,STATEMENT3 → dot id STATEMENT2,STATEMENT3 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
STATEMENT4, , , , , , ,STATEMENT4 → dot id STATEMENT2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STATEMENT4 → ASSIGNOP EXPR, 
STRUCTDECL, , , , , , , , , , , , , , ,STRUCTDECL → struct id OPTSTRUCTDECL2 lcurbr REPTSTRUCTDECL4 rcurbr semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
STRUCTORIMPLORFUNC, , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC → STRUCTDECL, , , , , , , , , , , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC → IMPLDEF, ,STRUCTORIMPLORFUNC → FUNCDEF, , , , , 
TERM, , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , 
TYPE, , , , , ,TYPE → id, , , , ,TYPE → float,TYPE → integer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECL, , , , , , , , , ,VARDECL → let id colon TYPE REPTVARDECL4 semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECLORSTAT, , , , , ,VARDECLORSTAT → STATEMENT, , , ,VARDECLORSTAT → VARDECL, , , , , ,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT, , ,VARDECLORSTAT → STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE, , , , , ,VARIABLE → id VARIABLE2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE2, , , ,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST, ,VARIABLE2 → REPTIDNEST1 REPTVARIABLE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VARIABLE2 → REPTIDNEST1 REPTVARIABLE, , , , , , ,VARIABLE2 → REPTIDNEST1 REPTVARIABLE, 
REPTVARIABLE, , , ,REPTVARIABLE → &epsilon, , ,REPTVARIABLE → VARIDNEST REPTVARIABLE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REPTVARIABLE → &epsilon, 
VARIDNEST, , , , , , ,VARIDNEST → dot id VARIDNEST2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIDNEST2, , , ,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST, ,VARIDNEST2 → REPTIDNEST1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VARIDNEST2 → REPTIDNEST1, , , , , , ,VARIDNEST2 → REPTIDNEST1, 
VISIBILITY, ,VISIBILITY → private,VISIBILITY → public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
